"","datetime","city","country","shape"
"9905",2020-11-13,"patong beach&#44 phuket (thailand)",NA,"oval"
"68087",2020-07-03,"westbrook","us","sphere"
"45456",2020-04-09,"riding mountain park (manitoba) (canada)",NA,"triangle"
"80366",2020-08-09,"lake tawakoni",NA,"unknown"
"57281",2020-06-24,"mississaugua (canada)",NA,NA
"70973",2020-07-09,"las vegas","us","disk"
"32883",2020-02-06,"laconia","us","disk"
"72381",2019-08-12,"long beach","us","disk"
"25271",2020-01-25,"schenectady","us","flash"
"87398",2020-09-03,"joshua tree","us","light"
"68657",2020-07-04,"tahoe city","us","other"
"51673",2020-06-10,"normal","us","other"
"2116",2019-10-15,"brigham city (west of)","us","other"
"58596",2019-06-30,"tarpon springs","us","light"
"67112",2020-07-28,"spokane","us","disk"
"28568",2020-02-11,"everett","us","chevron"
"18562",2020-01-20,"monroe","us","cigar"
"38759",2020-03-05,"rothesay (canada)","ca","fireball"
"12945",2020-11-20,"berlin",NA,"fireball"
"23108",2020-12-27,"lake in the hills","us","light"
"58925",2020-06-30,"milwaukee","us","light"
"43843",2020-04-28,"bakersfield","us","light"
"7857",2020-10-08,"ukiah","us","light"
"54828",2020-06-15,"buhl","us","triangle"
"28681",2019-02-01,"woodinville","us",NA
"46903",2019-05-15,"pine castle afb",NA,"light"
"55902",2019-06-20,"london (uk/england)","gb","triangle"
"72937",2020-08-13,"richland","us","unknown"
"67268",2020-07-29,"canton","us","light"
"87728",2019-09-05,"coweta","us","disk"
"55667",2020-06-19,"mesquite","us","flash"
"24027",2020-12-31,"roseburg","us","light"
"6333",2020-10-31,"orlando","us","triangle"
"81647",2020-09-01,"dallas","us","triangle"
"17466",2020-11-07,"palm springs","us",NA
"64208",2019-07-18,"atlantic ocean",NA,"unknown"
"26181",2020-01-28,"st. augustine","us","sphere"
"69475",2020-07-04,"bartlett","us","triangle"
"44034",2020-04-29,"comfort","us","triangle"
"82420",2020-09-14,"laport",NA,"flash"
"46555",2020-05-12,"san diego","us","changing"
"87919",2020-09-05,"susanville","us","cigar"
"79180",2020-08-04,"london (canada)","ca","circle"
"56273",2020-06-21,"salisbury (uk/england)","gb","cylinder"
"53799",2020-06-14,"warner town",NA,"disk"
"7386",2020-10-06,"oak lawn","us","disk"
"74924",2020-08-18,"ontario","us","disk"
"48259",2019-05-21,"san antonio","us","disk"
"13426",2020-01-12,"waukesha","us","disk"
"48423",2020-05-21,"olympia","us","fireball"
"36832",2020-03-23,"peoria","us","fireball"
"61850",2020-07-01,"windsor (canada)","ca","fireball"
"80143",2020-08-08,"blind bay (canada)",NA,"flash"
"80991",2020-09-11,"findlay","us","flash"
"5353",2020-10-27,"st-jean-sur-richelieu (canada)",NA,"formation"
"34243",2019-03-12,"grand rapids","us","formation"
"71951",2019-08-01,"neenah","us","light"
"24173",2020-12-31,"hesperia","us","light"
"8323",2020-01-10,"jacksonville","us","light"
"10384",2019-11-15,"harker heights","us","light"
"51140",2020-05-07,"lexington","us","light"
"35423",2020-03-16,"pont sur yonne (france)",NA,"light"
"45337",2020-04-08,"holden beach","us","light"
"59489",2020-06-04,"sonora","us","other"
"46807",2020-05-14,"fort collins","us","other"
"38038",2020-03-30,"little rock",NA,"other"
"87539",2020-09-04,"gloucester (uk/england)","gb","oval"
"63602",2020-07-15,"kissimmee","us","oval"
"21710",2020-12-02,"los angeles","us","oval"
"33053",2020-02-07,"hanworth (middlesex) (uk/england)","gb","oval"
"26145",2020-12-08,"valencia","us","rectangle"
"38263",2019-03-03,"albany","us","rectangle"
"53026",2019-06-01,"dayton","us","sphere"
"55352",2020-06-17,"mill creek","us","sphere"
